customer_id,tenure_months,contract_type,monthly_charges,total_charges,internet_service,online_security,tech_support,streaming_tv,payment_method,paperless_billing,senior_citizen,partner,dependents,phone_service,multiple_lines,support_calls_3mo,avg_data_gb_3mo,late_payments_6mo,plan_changes_6mo,churned
CUST50000,23,One year,62.46,1438.05,Fiber optic,No,Yes,No,Credit card (auto),Yes,0,Yes,Yes,Yes,No,2,8.04,0,0,0
CUST50001,5,Month-to-month,105.22,551.34,Fiber optic,No,No,Yes,Bank transfer (auto),No,1,Yes,Yes,Yes,Yes,1,22.59,1,0,1
CUST50002,18,One year,101.26,1740.03,Fiber optic,No,No,Yes,Electronic check,Yes,0,No,No,Yes,No,1,22.78,0,0,0
CUST50003,21,Month-to-month,42.21,967.67,Fiber optic,No,No,Yes,Electronic check,Yes,0,No,No,Yes,No,1,15.1,0,0,1
CUST50004,7,Month-to-month,101.85,715.98,Fiber optic,No,Yes,Yes,Mailed check,No,0,Yes,No,Yes,No,2,38.28,1,0,1
CUST50005,52,One year,32.79,1756.37,Fiber optic,Yes,No,No,Credit card (auto),Yes,0,Yes,No,Yes,No,0,11.52,0,0,0
CUST50006,62,Two year,26.68,1775.25,DSL,No,Yes,No,Credit card (auto),Yes,0,No,No,Yes,Yes,2,14.88,1,0,0
CUST50007,52,Month-to-month,105.66,5487.39,Fiber optic,Yes,No,No,Electronic check,No,1,Yes,No,Yes,Yes,1,105.87,0,0,0
CUST50008,6,Month-to-month,74.41,402.75,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,0,Yes,No,Yes,No,1,0.0,0,0,1
CUST50009,3,Month-to-month,41.69,106.31,DSL,Yes,No,Yes,Mailed check,No,0,Yes,No,Yes,No,1,13.11,0,1,1
CUST50010,28,One year,87.78,2448.97,DSL,No,Yes,No,Electronic check,Yes,0,Yes,No,Yes,No,1,15.61,0,0,1
CUST50011,19,Month-to-month,36.96,710.75,No internet service,No internet service,No internet service,No internet service,Electronic check,Yes,1,No,No,Yes,No,2,0.0,0,0,1
CUST50012,35,Two year,68.92,2476.41,DSL,Yes,No,Yes,Electronic check,Yes,0,Yes,Yes,No,No phone service,1,29.86,1,1,1
CUST50013,46,Month-to-month,49.96,2298.6,DSL,Yes,No,No,Bank transfer (auto),Yes,0,Yes,No,No,No phone service,1,10.22,0,1,1
CUST50014,38,Month-to-month,75.42,2929.59,Fiber optic,No,No,Yes,Electronic check,No,0,No,Yes,Yes,No,0,11.53,0,1,1
CUST50015,6,Month-to-month,51.78,369.13,DSL,No,No,No,Bank transfer (auto),Yes,0,No,Yes,Yes,No,1,0.29,1,2,1
CUST50016,58,One year,66.43,3860.38,Fiber optic,No,No,No,Bank transfer (auto),Yes,0,Yes,No,No,No phone service,0,11.27,0,0,1
CUST50017,40,One year,64.49,2501.62,DSL,Yes,No,No,Electronic check,No,0,Yes,Yes,Yes,No,1,79.69,1,0,0
CUST50018,44,Month-to-month,69.29,3093.44,Fiber optic,No,No,No,Credit card (auto),Yes,0,Yes,No,No,No phone service,1,58.36,1,2,0
CUST50019,58,Two year,46.93,2756.76,DSL,No,No,No,Electronic check,Yes,0,No,Yes,Yes,Yes,1,28.09,1,0,0
CUST50020,10,Month-to-month,36.37,352.5,No internet service,No internet service,No internet service,No internet service,Bank transfer (auto),No,0,No,No,Yes,No,3,0.0,0,0,0
CUST50021,14,One year,72.52,963.57,Fiber optic,Yes,Yes,No,Electronic check,Yes,0,No,Yes,Yes,Yes,1,12.93,0,0,0
CUST50022,7,Month-to-month,65.3,453.85,Fiber optic,Yes,No,Yes,Credit card (auto),No,0,No,No,Yes,No,0,21.61,1,0,1
CUST50023,11,Month-to-month,29.68,351.2,DSL,Yes,Yes,No,Bank transfer (auto),Yes,0,No,Yes,Yes,No,1,0.23,0,0,0
CUST50024,57,Two year,55.08,3078.86,No internet service,No internet service,No internet service,No internet service,Bank transfer (auto),No,0,No,No,Yes,No,2,0.0,0,0,0
CUST50025,60,Two year,47.91,2814.7,DSL,No,No,No,Mailed check,Yes,0,No,No,Yes,No,0,7.29,0,0,0
CUST50026,5,Month-to-month,108.1,696.06,Fiber optic,No,No,No,Electronic check,Yes,0,Yes,No,Yes,Yes,0,16.78,0,0,1
CUST50027,48,One year,40.54,1888.83,No internet service,No internet service,No internet service,No internet service,Mailed check,Yes,0,No,Yes,Yes,No,2,0.0,0,0,0
CUST50028,7,Month-to-month,91.17,602.82,Fiber optic,No,No,Yes,Bank transfer (auto),No,0,Yes,Yes,Yes,No,0,0.25,0,0,0
CUST50029,8,One year,65.73,606.58,No internet service,No internet service,No internet service,No internet service,Electronic check,No,0,Yes,Yes,Yes,Yes,1,0.0,5,0,0
